,ID,SoortGegevens,Perioden,Totaal_1,BrutoBinnenlandsProduct_2,Totaal_3,Goederen_4,Diensten_5,Totaal_6,Totaal_7,Totaal_8,Huishoudens_9,Overheid_10,Totaal_11,BedrijvenEnHuishoudens_12,Overheid_13,VeranderingInVoorraden_14,Totaal_15,Goederen_16,Diensten_17,Totaal_18,Totaal_19,ALandbouwBosbouwEnVisserij_20,Totaal_21,BDelfstoffenwinning_22,Totaal_23,k_1012VoedingsGenotmiddelenindustrie_24,k_1315TextielKledingLederindustrie_25,k_1618HoutPapierGrafischeIndustr_26,k_19AardolieIndustrie_27,k_2021ChemieEnFarmaceutischeIndustrie_28,k_2223KunststofEnBouwmateriaalindustr_29,k_2425BasismetaalMetaalprodIndustrie_30,k_2627ElektrischeEnElektronIndustrie_31,k_28MachineIndustrie_32,k_2930Transportmiddelenindustrie_33,k_3133OverigeIndustrieEnReparatie_34,DEnergievoorziening_35,EWaterbedrijvenEnAfvalbeheer_36,FBouwnijverheid_37,Totaal_38,Totaal_39,GHandel_40,HVervoerEnOpslag_41,IHoreca_42,JInformatieEnCommunicatie_43,KFinancieleDienstverlening_44,LVerhuurEnHandelVanOnroerendGoed_45,Totaal_46,MSpecialistischeZakelijkeDiensten_47,Totaal_48,k_77VerhuurVanRoerendeGoederen_49,k_78UitzendbureausEnArbeidsbemiddeling_50,k_79ReisbureausReisorganisatieEnInfo_51,k_8082BeveiligingEnOverigeDiensten_52,Totaal_53,Totaal_54,Totaal_55,OOpenbaarBestuurEnOverheidsdiensten_56,POnderwijs_57,QGezondheidsEnWelzijnszorg_58,RUCultuurRecreatieOverigeDiensten_59,Saldo_60,ProductgebondenBelastingen_61,ProductgebondenSubsidies_62,BrutoBinnenlandsProduct_63,BeloningVanWerknemers_64,NettoExploitatieoverschot_65,Saldo_66,BelastingenOpProductieEnInvoer_67,Subsidies_68,NettoBinnenlandsProduct_69,VerbruikVanVasteActiva_70,BrutoBinnenlandsProduct_71,BrutoBinnenlandsProduct_72,Saldo_73,OntvangenPrimaireInkomensBuitenland_74,BetaaldePrimaireInkomensBuitenland_75,BrutoNationaalInkomen_76,Saldo_77,OntvangenInkomensoverdrachtBuitenland_78,BetaaldeInkomensoverdrachtenBuitenland_79,BrutoBeschikbaarNationaalInkomen_80,ConsumptieveBestedingen_81,CorrectiePensioenvoorziening_82,BrutoNationaleBesparingen_83,BrutoInvesteringen_84,NationaalInkomensoverschot_85,UitvoersaldoGoederen_86,UitvoersaldoDiensten_87,SaldoPrimaireInkomensBuitenland_88,SaldoInkomensoverdrachtenBuitenland_89,CorrectiePensioenvoorziening_90,SaldoLopendeTransactiesBuitenland_91,Saldo_92,OntvangenKapitaaloverdrachten_93,BetaaldeKapitaaloverdrachten_94,SaldoAanEnVerkopenVanNietGeprod_95,NationaalVorderingensaldo_96,Totaal_97,Totaal_98,Totaal_99,Totaal_100,Voedingsmiddelen_101,DrankenEnTabak_102,Totaal_103,KledingEnTextiel_104,SchoenenEnLederwaren_105,WoninginrichtingEnWoningdecoratie_106,ElektrischeApparatuur_107,VervoermiddelenEnOnderdelen_108,OverigeDuurzameGoederen_109,TotaalOverigeGoederen_110,EnergieEnWater_111,BrandstoffenEnOverigeGoederen_112,Totaal_113,Huisvesting_114,Horecadiensten_115,RecreatieEnCultuurdiensten_116,VervoerEnCommunicatieDiensten_117,MedischeDienstenEnWelzijnszorg_118,FinancieleEnZakelijkeDiensten_119,OverigeDiensten_120,BinnenlandsConsumptieHuishoudens_121,ConsumptieIngezetenenInHetBuitenland_122,ConsumptieNietIngezetenenInNederland_123,Totaal_124,IndividueleConsumptieOverheid_125,CollectieveConsumptieOverheid_126,Totaal_127,WerkelijkeIndividueleConsumptie_128,WerkelijkeCollectieveConsumptie_129,Totaal_130,Totaal_131,Woningen_132,Totaal_133,Gebouwen_134,GrondWegEnWaterbouwkundigeWerken_135,OverdrachtskostenOpGrond_136,Vervoermiddelen_137,Totaal_138,Computers_139,Telecommunicatieapparatuur_140,MachinesEnOverigeMaterieleActiva_141,InCultuurGebrachteActiva_142,Totaal_143,ComputerprogrammatuurEnDatabanken_144,OnderzoekEnOntwikkeling_145,OverigeImmaterieleActiva_146,VerkoopVanGebruikteVasteActiva_147,Totaal_148,Totaal_149,ALandbouwBosbouwEnVisserij_150,BFNijverheidEnEnergie_151,GNCommercieleDienstverlening_152,OUNietCommercieleDienstverlening_153,VerkoopVanGebruikteVasteActiva_154,Totaal_155,LandbouwBosbouwEnVisserijproducten_156,WinningVanDelfstoffen_157,VoedingsmiddelenDrankenEnTabak_158,TextielKledingEnProductenVanLeder_159,HoutEnPapierwarenDrukwerk_160,Aardolieproducten_161,ChemischeEnFarmaceutischeProducten_162,RubberKunststofEnMineraleProducten_163,BasismetalenEnMetaalproducten_164,MachinesEnElektrischeApparatuur_165,ElektrotechnischeEnOptischeApparatuur_166,Transportmiddelen_167,OverigeIndustrieleProducten_168,OverigeProducten_169,ConsumptieNietIngezetenenInNederland_170,CifFobCorrectie_171,Totaal_172,UitvoerGoederenUitProductie_173,Wederuitvoer_174,Totaal_175,ConsumptieNietIngezetenenInNederland_176,OverigeUitvoerVanDiensten_177,CifFobCorrectie_178,Totaal_179,LandbouwBosbouwEnVisserijproducten_180,WinningVanDelfstoffen_181,VoedingsmiddelenDrankenEnTabak_182,TextielKledingEnProductenVanLeder_183,HoutEnPapierwarenDrukwerk_184,Aardolieproducten_185,ChemischeEnFarmaceutischeProducten_186,RubberKunststofEnMineraleProducten_187,BasismetalenEnMetaalproducten_188,MachinesEnElektrischeApparatuur_189,ElektrotechnischeEnOptischeApparaten_190,Transportmiddelen_191,OverigeIndustrieleProducten_192,OverigeProducten_193,ConsumptieIngezetenenInHetBuitenland_194,CifFobCorrectie_195,Totaal_196,InvoerGoederenCif_197,CifFobCorrectieEnHerclassificatie_198,Totaal_199,InvoerDienstenCif_200,CifFobHerclassificatie_201,Totaal_202,ProductgebondenBelastingen_203,NietProductgebondenBelastingen_204,TotaalSubsidies_205,ProductgebondenSubsidies_206,NietProductgebondenSubsidies_207
0,0,Prijsniveau 2015,1995 1e kwartaal,161241.0,116638.0,46462.0,35506.0,10547.0,161241.0,106146.0,85042.0,57096.0,28035.0,21525.0,17760.0,3683.0,-266.0,56007.0,43846.0,11790.0,103378.0,30049.0,2508.0,21301.0,6579.0,13513.0,2540.0,359.0,998.0,199.0,1783.0,1139.0,1895.0,916.0,1026.0,739.0,2179.0,1344.0,582.0,5964.0,47338.0,19046.0,11495.0,5210.0,2669.0,1966.0,7258.0,6537.0,12593.0,,,,1494.0,276.0,,26115.0,22921.0,14044.0,,,8829.0,3231.0,13310.0,13846.0,276.0,116638.0,,,13734.0,15018.0,1430.0,99689.0,17095.0,116638.0,116638.0,,,,,,,,,85042.0,,,21274.0,,,,,,,,,,,,,85042.0,57096.0,25021.0,8163.0,5921.0,2300.0,8759.0,2039.0,465.0,2210.0,335.0,3424.0,1273.0,8739.0,3752.0,5165.0,32024.0,11692.0,5232.0,2677.0,1455.0,2964.0,4230.0,4697.0,57079.0,1454.0,1455.0,28035.0,17836.0,10183.0,85042.0,74830.0,10183.0,21525.0,21984.0,5801.0,6138.0,3674.0,2190.0,229.0,1829.0,93.0,65.0,42.0,5330.0,182.0,3819.0,1132.0,2855.0,150.0,302.0,21525.0,21984.0,795.0,4898.0,11519.0,4599.0,302.0,56007.0,,,,,,,,,,,,,,,1455.0,-278.0,43846.0,33987.0,12201.0,11790.0,1455.0,10652.0,-278.0,46462.0,,,,,,,,,,,,,,,1454.0,-278.0,35506.0,36262.0,-756.0,10547.0,10027.0,478.0,15018.0,13846.0,1153.0,1430.0,276.0,941.0
1,1,Prijsniveau 2015,1995 2e kwartaal,164687.0,116624.0,49419.0,35624.0,12796.0,164687.0,109263.0,86841.0,57519.0,29418.0,24128.0,19911.0,4164.0,-1753.0,56397.0,43170.0,12867.0,104269.0,27364.0,2464.0,17842.0,3837.0,12921.0,3142.0,315.0,1041.0,112.0,1508.0,1178.0,1501.0,924.0,883.0,606.0,1968.0,1164.0,506.0,6872.0,48994.0,19197.0,11872.0,4698.0,2907.0,2270.0,7471.0,6734.0,13304.0,,,,1927.0,301.0,,28050.0,25268.0,16209.0,,,9085.0,2791.0,12376.0,12935.0,261.0,116624.0,,,12766.0,14110.0,1473.0,99563.0,17139.0,116624.0,116624.0,,,,,,,,,86841.0,,,22476.0,,,,,,,,,,,,,86841.0,57519.0,25095.0,9223.0,6327.0,3068.0,8703.0,2142.0,630.0,2460.0,362.0,2646.0,1359.0,7852.0,2277.0,5658.0,31786.0,11154.0,5119.0,2445.0,1597.0,2850.0,4495.0,4835.0,56935.0,2487.0,1895.0,29418.0,18079.0,11298.0,86841.0,75531.0,11298.0,24128.0,24325.0,6625.0,7202.0,4300.0,2588.0,259.0,2188.0,98.0,68.0,45.0,6065.0,106.0,3270.0,1079.0,2228.0,161.0,194.0,24128.0,24325.0,861.0,5574.0,12935.0,4819.0,194.0,56397.0,,,,,,,,,,,,,,,1895.0,-297.0,43170.0,33204.0,11963.0,12867.0,1895.0,11347.0,-297.0,49419.0,,,,,,,,,,,,,,,2487.0,-297.0,35624.0,36407.0,-785.0,12796.0,12259.0,488.0,14110.0,12935.0,1129.0,1473.0,261.0,920.0
2,2,Prijsniveau 2015,1995 3e kwartaal,159766.0,114315.0,47036.0,33141.0,13732.0,159766.0,107405.0,85511.0,58757.0,26788.0,20393.0,16585.0,3794.0,1498.0,53887.0,39934.0,13806.0,101049.0,26371.0,2492.0,17826.0,2890.0,13577.0,3998.0,320.0,896.0,143.0,1545.0,1060.0,1794.0,1003.0,1142.0,621.0,1750.0,1075.0,590.0,6019.0,49244.0,18598.0,11324.0,4794.0,2722.0,2115.0,8012.0,7109.0,13585.0,,,,2456.0,626.0,,25501.0,22210.0,13655.0,,,8552.0,3326.0,13614.0,14128.0,282.0,114315.0,,,14634.0,15565.0,1292.0,97238.0,17187.0,114315.0,114315.0,,,,,,,,,85511.0,,,21919.0,,,,,,,,,,,,,85511.0,58757.0,24637.0,9599.0,6480.0,3286.0,8427.0,2069.0,704.0,2379.0,406.0,2160.0,1483.0,7401.0,1697.0,5722.0,31764.0,11948.0,5054.0,2499.0,1733.0,3097.0,4278.0,3915.0,56481.0,4580.0,2255.0,26788.0,16377.0,10345.0,85511.0,75135.0,10345.0,20393.0,20537.0,6882.0,6883.0,3770.0,2725.0,407.0,1655.0,102.0,74.0,40.0,3590.0,15.0,2812.0,983.0,1757.0,188.0,144.0,20393.0,20537.0,733.0,3752.0,12000.0,3918.0,144.0,53887.0,,,,,,,,,,,,,,,2255.0,-278.0,39934.0,30332.0,11548.0,13806.0,2255.0,11931.0,-278.0,47036.0,,,,,,,,,,,,,,,4580.0,-278.0,33141.0,33830.0,-687.0,13732.0,13299.0,409.0,15565.0,14128.0,1423.0,1292.0,282.0,785.0
3,3,Prijsniveau 2015,1995 4e kwartaal,169886.0,121939.0,49888.0,35513.0,14133.0,169886.0,114964.0,86983.0,57947.0,28996.0,25294.0,20081.0,5196.0,2448.0,57007.0,42203.0,14699.0,108156.0,29488.0,1963.0,20716.0,6428.0,13768.0,3621.0,306.0,1049.0,481.0,1603.0,1082.0,1660.0,951.0,1010.0,613.0,1936.0,1181.0,584.0,7019.0,51667.0,19159.0,12150.0,4713.0,2475.0,2296.0,9534.0,7051.0,14230.0,,,,2436.0,121.0,,27182.0,24134.0,16128.0,,,8189.0,3079.0,13806.0,14349.0,251.0,121939.0,,,15880.0,16651.0,1122.0,104919.0,17170.0,121939.0,121939.0,,,,,,,,,86983.0,,,27748.0,,,,,,,,,,,,,86983.0,57947.0,25821.0,9659.0,6693.0,3178.0,8230.0,2317.0,611.0,2695.0,390.0,1871.0,1191.0,8777.0,3557.0,5469.0,31481.0,12077.0,4640.0,2149.0,1543.0,2682.0,4544.0,4632.0,57374.0,1984.0,1383.0,28996.0,16835.0,12172.0,86983.0,74844.0,12172.0,25294.0,25552.0,7306.0,8376.0,4555.0,3311.0,569.0,2225.0,151.0,119.0,42.0,5223.0,12.0,3543.0,1395.0,2034.0,167.0,259.0,25294.0,25552.0,832.0,4765.0,14412.0,5334.0,259.0,57007.0,,,,,,,,,,,,,,,1383.0,-277.0,42203.0,32491.0,11817.0,14699.0,1383.0,13617.0,-277.0,49888.0,,,,,,,,,,,,,,,1984.0,-277.0,35513.0,36194.0,-676.0,14133.0,13718.0,399.0,16651.0,14349.0,2247.0,1122.0,251.0,618.0
4,4,Prijsniveau 2015,1995,655525.0,469502.0,192815.0,139776.0,51285.0,655525.0,437744.0,344372.0,231328.0,113245.0,91511.0,74543.0,16828.0,1936.0,223221.0,169054.0,53175.0,416848.0,113243.0,9358.0,77645.0,19758.0,53795.0,13139.0,1297.0,3983.0,841.0,6441.0,4462.0,6836.0,3806.0,4057.0,2579.0,7832.0,4763.0,2266.0,25846.0,197252.0,75976.0,46849.0,19370.0,10750.0,8645.0,32092.0,27419.0,53725.0,,,,8275.0,1251.0,,106866.0,94558.0,60043.0,,,34643.0,12439.0,52890.0,55043.0,1061.0,469502.0,,,56726.0,61127.0,5271.0,401382.0,68591.0,469502.0,469502.0,,,,,,,,,344372.0,,,93456.0,,,,,,,,,,,,,344372.0,231328.0,100580.0,36623.0,25421.0,11793.0,34115.0,8571.0,2396.0,9741.0,1491.0,10048.0,5302.0,32760.0,11201.0,22006.0,127040.0,46853.0,19993.0,9745.0,6325.0,11589.0,17534.0,18035.0,227872.0,10518.0,6978.0,113245.0,69142.0,43988.0,344372.0,300333.0,43988.0,91511.0,92485.0,26638.0,28523.0,16283.0,10799.0,1317.0,7861.0,442.0,323.0,169.0,20220.0,316.0,13492.0,4589.0,8925.0,689.0,895.0,91511.0,92485.0,3227.0,18986.0,50941.0,18684.0,895.0,223221.0,,,,,,,,,,,,,,,6978.0,-1130.0,169054.0,129928.0,47497.0,53175.0,6978.0,47554.0,-1130.0,192815.0,,,,,,,,,,,,,,,10518.0,-1130.0,139776.0,142682.0,-2903.0,51285.0,49373.0,1774.0,61127.0,55043.0,5812.0,5271.0,1061.0,3217.0
5,5,Prijsniveau 2015,1996 1e kwartaal,166848.0,119460.0,49057.0,37299.0,11379.0,166848.0,109096.0,87623.0,60108.0,27538.0,21519.0,17884.0,3546.0,136.0,58588.0,45613.0,12627.0,105537.0,29888.0,2316.0,22076.0,8409.0,13305.0,2591.0,329.0,942.0,175.0,1774.0,988.0,1822.0,941.0,1146.0,717.0,2121.0,1461.0,626.0,5064.0,49604.0,19604.0,11906.0,5322.0,2689.0,2083.0,7767.0,6644.0,13683.0,,,,1940.0,296.0,,26106.0,22962.0,14024.0,,,8898.0,3175.0,14112.0,14425.0,226.0,119460.0,,,14393.0,15782.0,1526.0,102070.0,17537.0,119460.0,119460.0,,,,,,,,,87623.0,,,21686.0,,,,,,,,,,,,,87623.0,60108.0,26577.0,8531.0,6217.0,2364.0,9067.0,2145.0,498.0,2223.0,371.0,3459.0,1322.0,9873.0,4592.0,5614.0,33303.0,12061.0,5346.0,2844.0,1511.0,3205.0,4465.0,4776.0,59959.0,1618.0,1480.0,27538.0,17550.0,9975.0,87623.0,77639.0,9975.0,21519.0,21923.0,5073.0,5428.0,2973.0,2116.0,282.0,2038.0,153.0,113.0,50.0,5461.0,189.0,4167.0,1465.0,2693.0,210.0,250.0,21519.0,21923.0,808.0,4752.0,11739.0,4454.0,250.0,58588.0,,,,,,,,,,,,,,,1480.0,-303.0,45613.0,34665.0,13146.0,12627.0,1480.0,11486.0,-303.0,49057.0,,,,,,,,,,,,,,,1618.0,-303.0,37299.0,38069.0,-771.0,11379.0,10879.0,468.0,15782.0,14425.0,1307.0,1526.0,226.0,1201.0
6,6,Prijsniveau 2015,1996 2e kwartaal,170353.0,121240.0,50619.0,36038.0,13664.0,170353.0,115095.0,89320.0,60382.0,28951.0,25557.0,20925.0,4588.0,-23.0,56613.0,42634.0,13741.0,108036.0,28040.0,2334.0,18518.0,4321.0,13260.0,3170.0,310.0,1031.0,93.0,1529.0,1223.0,1514.0,978.0,990.0,596.0,2104.0,1198.0,559.0,7057.0,51870.0,20092.0,12586.0,4815.0,2944.0,2430.0,7958.0,6838.0,14649.0,,,,2483.0,318.0,,28137.0,25369.0,16185.0,,,9219.0,2774.0,13287.0,13605.0,209.0,121240.0,,,13633.0,14931.0,1468.0,103760.0,17585.0,121240.0,121240.0,,,,,,,,,89320.0,,,25700.0,,,,,,,,,,,,,89320.0,60382.0,26486.0,9542.0,6551.0,3167.0,9216.0,2176.0,681.0,2588.0,413.0,2801.0,1445.0,8450.0,2447.0,6091.0,33133.0,11548.0,5267.0,2575.0,1679.0,3103.0,4708.0,4957.0,59698.0,2675.0,1977.0,28951.0,17784.0,11125.0,89320.0,78190.0,11125.0,25557.0,25761.0,7308.0,7952.0,4547.0,3006.0,325.0,1902.0,136.0,97.0,55.0,6074.0,110.0,3430.0,1189.0,2233.0,188.0,201.0,25557.0,25761.0,896.0,5613.0,13949.0,5188.0,201.0,56613.0,,,,,,,,,,,,,,,1977.0,-293.0,42634.0,32790.0,11815.0,13741.0,1977.0,12127.0,-293.0,50619.0,,,,,,,,,,,,,,,2675.0,-293.0,36038.0,36770.0,-735.0,13664.0,13189.0,442.0,14931.0,13605.0,1271.0,1468.0,209.0,1125.0
7,7,Prijsniveau 2015,1996 3e kwartaal,167541.0,118805.0,50211.0,35743.0,14202.0,167541.0,112207.0,87852.0,61318.0,26493.0,22808.0,18437.0,4357.0,1419.0,56860.0,41922.0,14820.0,104904.0,27086.0,2471.0,18525.0,3317.0,13972.0,4089.0,313.0,908.0,121.0,1615.0,1076.0,1840.0,1069.0,1231.0,564.0,1804.0,1124.0,623.0,6039.0,52111.0,19349.0,11948.0,4888.0,2722.0,2249.0,8684.0,7224.0,14947.0,,,,3013.0,666.0,,25658.0,22357.0,13650.0,,,8718.0,3335.0,14303.0,14615.0,234.0,118805.0,,,14908.0,16033.0,1427.0,101305.0,17634.0,118805.0,118805.0,,,,,,,,,87852.0,,,24250.0,,,,,,,,,,,,,87852.0,61318.0,26037.0,9746.0,6615.0,3284.0,9130.0,2188.0,745.0,2546.0,465.0,2414.0,1568.0,7893.0,1818.0,6096.0,33251.0,12280.0,5179.0,2641.0,1829.0,3409.0,4550.0,4088.0,59389.0,4410.0,2463.0,26493.0,16250.0,10183.0,87852.0,77647.0,10183.0,22808.0,22993.0,7516.0,7485.0,3805.0,3209.0,503.0,1606.0,157.0,118.0,47.0,4227.0,23.0,3174.0,1201.0,1841.0,246.0,183.0,22808.0,22993.0,809.0,4374.0,13292.0,4352.0,183.0,56860.0,,,,,,,,,,,,,,,2463.0,-276.0,41922.0,31564.0,12310.0,14820.0,2463.0,12744.0,-276.0,50211.0,,,,,,,,,,,,,,,4410.0,-276.0,35743.0,36469.0,-724.0,14202.0,13723.0,448.0,16033.0,14615.0,1406.0,1427.0,234.0,1087.0
8,8,Prijsniveau 2015,1996 4e kwartaal,177729.0,126417.0,53110.0,37867.0,14967.0,177729.0,119258.0,89898.0,60910.0,28850.0,27631.0,21934.0,5679.0,1463.0,60465.0,44541.0,15860.0,111638.0,30049.0,1860.0,21257.0,6324.0,14168.0,3711.0,310.0,1045.0,378.0,1688.0,1119.0,1744.0,1005.0,1075.0,559.0,1978.0,1259.0,617.0,7235.0,54286.0,19828.0,12650.0,4819.0,2536.0,2439.0,10175.0,7171.0,15444.0,,,,2907.0,128.0,,27374.0,24296.0,16098.0,,,8384.0,3110.0,14872.0,15181.0,203.0,126417.0,,,16548.0,17459.0,1231.0,108975.0,17617.0,126417.0,126417.0,,,,,,,,,89898.0,,,29086.0,,,,,,,,,,,,,89898.0,60910.0,27186.0,10044.0,6982.0,3268.0,8693.0,2337.0,661.0,2859.0,439.0,1954.0,1284.0,9337.0,3784.0,5818.0,33179.0,12410.0,4978.0,2279.0,1625.0,2964.0,4845.0,4854.0,60438.0,1851.0,1365.0,28850.0,16806.0,12060.0,89898.0,77865.0,12060.0,27631.0,27877.0,7849.0,8578.0,4390.0,3608.0,651.0,2432.0,207.0,167.0,48.0,5891.0,21.0,3892.0,1557.0,2174.0,213.0,249.0,27631.0,27877.0,876.0,5390.0,15629.0,5731.0,249.0,60465.0,,,,,,,,,,,,,,,1365.0,-310.0,44541.0,34377.0,12416.0,15860.0,1365.0,14820.0,-310.0,53110.0,,,,,,,,,,,,,,,1851.0,-310.0,37867.0,38679.0,-807.0,14967.0,14433.0,497.0,17459.0,15181.0,2110.0,1231.0,203.0,910.0
9,9,Prijsniveau 2015,1996,682437.0,485928.0,203043.0,146963.0,54294.0,682437.0,455608.0,354685.0,242724.0,111836.0,97679.0,79384.0,18156.0,2982.0,232474.0,174636.0,57060.0,430122.0,115061.0,8923.0,80342.0,22468.0,54710.0,13394.0,1261.0,3925.0,701.0,6601.0,4406.0,6903.0,4012.0,4440.0,2437.0,8009.0,5040.0,2428.0,25342.0,207879.0,78847.0,49097.0,19797.0,10868.0,9198.0,34391.0,27866.0,58735.0,,,,10301.0,1330.0,,107290.0,95007.0,59965.0,,,35210.0,12406.0,56384.0,57636.0,864.0,485928.0,,,59230.0,63998.0,5616.0,416110.0,70372.0,485928.0,485928.0,,,,,,,,,354685.0,,,100618.0,,,,,,,,,,,,,354685.0,242724.0,106289.0,37850.0,26368.0,12045.0,36100.0,8852.0,2570.0,10211.0,1687.0,10573.0,5617.0,35515.0,12499.0,23609.0,132853.0,48283.0,20723.0,10313.0,6643.0,12679.0,18552.0,18636.0,239487.0,10564.0,7270.0,111836.0,68403.0,43330.0,354685.0,311334.0,43330.0,97679.0,98639.0,27749.0,29346.0,15689.0,11915.0,1598.0,7954.0,649.0,491.0,199.0,21651.0,343.0,14722.0,5420.0,9037.0,886.0,880.0,97679.0,98639.0,3394.0,20136.0,54665.0,19767.0,880.0,232474.0,,,,,,,,,,,,,,,7270.0,-1181.0,174636.0,133337.0,49650.0,57060.0,7270.0,51180.0,-1181.0,203043.0,,,,,,,,,,,,,,,10564.0,-1181.0,146963.0,150002.0,-3037.0,54294.0,52297.0,1856.0,63998.0,57636.0,6078.0,5616.0,864.0,4289.0
